Saliency,Classifier,Extractor,Concept Presence,Classes,Wall,Window,Roof,Facade,Tree,Vegetation,Rock,Ice,Mountain Peak,Boat,Beach,Water,Sky,Sidewalk,Streetlights,Car,WOE Score
gradcam,resnet,florence,iou,forest,-2.9335338949490417,-7.80353099872674,-8.464702747023267,-0.1901232459851503,0.1479679075511997,0.6243282478533562,-3.512622965259271,-3.461934657735448,-10.77456864240476,-8.236230448690968,-0.1456963028162208,-2.0552957704923656,-2.73819494547274,-0.5369939703016247,-6.418641241817491,-6.705855332044055,12.665800211307273
gradcam,resnet,florence,iou,glacier,-0.0432347773481622,-1.6531127281972515,-1.3866319298975225,0.3129593601545695,-1.1743050025753303,-0.4908053159494059,1.271652349593317,1.361395340596408,0.7617298984675744,-2.805654681522945,0.2746886404253779,0.3560841771822334,-0.1565694730824827,-1.570597299066983,-6.409834750334641,-6.697048840561203,16.96999373790061
gradcam,resnet,florence,iou,mountain,-0.1746817654151675,-7.54596569642497,-1.1378731190786036,0.4749566691227853,0.9990236370454686,1.1344274884176682,0.7192916383659445,-0.033504443931527,2.1606535602934582,-1.8522020802378527,0.14391167825084,-0.04291785644732,0.7079449751712421,-1.5730551926902585,-6.1610759395157215,-6.448290029742285,11.541347374513158
gradcam,resnet,florence,iou,sea,-0.4557405886596011,-7.51702057257185,-0.7497291295748973,0.0326934736202999,-1.677157917823858,-0.3209458926431616,0.7132692428758138,1.175694861508121,-1.138757989167483,1.02409536927645,0.8009228357428074,1.807003812466299,0.6836192479269627,-0.3919763227135426,-0.6371217722641607,-6.419344905889165,11.628425550330963
gradcam,resnet,florence,iou,street,0.9250354613896156,-0.4844826133518591,0.6179891601279237,0.0013385142670427,0.4975095238241389,-1.154390636440936,-2.3723851346841656,-2.2397369252954498,-3.5382110628112557,1.9663603552621824,-0.0511047113157452,-1.3016408239395625,0.160306753617383,2.3995545274487133,3.511500146543237,3.006177504328009,15.986724212947117
gradcam,resnet,groundingdino,cas,buildings,-0.1432100558534064,0.3632193754602548,0.4560970911454441,1.4018710922920543,0.1679506278647862,-1.0011531755057466,-1.8621727663123648,-8.92577552669498,-1.572988880509394,-1.092652399866904,-0.8778410590727466,-1.461701505013523,-0.2647259881233628,-1.1581955504949286,0.5666737246166403,-0.5684975512678128,14.299696102389143
gradcam,resnet,groundingdino,cas,forest,-2.5063730596225806,-0.9969574659856164,-0.9044208371786544,-1.9544327753242496,-0.639770507898608,1.0826734039335033,-1.6891439484521218,-1.2846400443440054,-3.2366506955964454,-9.915854301792002,-0.5595141981349907,-2.651698837664316,-1.2995428487552805,-0.5296507751163086,-1.7618575763735391,-2.7579503230307765,12.850227453038205
gradcam,resnet,groundingdino,cas,glacier,0.5742784407650476,-0.0747772505654105,-0.0527573519886848,-1.464204177301076,-1.1751588251899454,-0.522138502424081,0.8973292675057667,2.0310478459148213,0.7482720569602538,-0.5514880801431912,-0.3067390769942018,0.5853475481504256,-0.1684443711546428,0.5945552424801342,-2.2376570909342366,-2.7491438315479253,7.799491016736793
gradcam,resnet,groundingdino,cas,mountain,-0.6376848621071798,0.338539508864502,0.125931764582907,-1.0827562351761946,0.2737187483720302,0.4015159223230669,0.788551950064127,0.610682488357563,1.2108222690526371,-1.0592442702072782,0.004836268841492,0.2145081190958591,0.5137248132682539,-0.9331594807782,-1.5575481090700152,-1.7927856045096755,5.8256116190974465
gradcam,resnet,groundingdino,cas,sea,0.2252944105141257,-0.210074532839412,0.0138929229842565,-0.9687520235399232,-0.0769129560671602,-0.4468849296112935,0.6942547380935349,-0.998129618189115,0.3879117995514816,2.7424296808792272,0.7757625267382218,1.473065029525035,0.6328486984110531,0.256775097537903,-0.55470550207454,-2.301799796288321,8.744173208560229
